time,obs_id,class,beta_bar,mu,beta_requested,beta_applied,guard_upper_bound,guard_passed,guard_status,d_i,rel_v_norm,ttc,ttc_norm,inv_ttc,cos_delta,rho_i,rho_norm,group_flag,h_ee,h_see,R_base,R_sem
1780837944.915084362,0,adult,0.400000000,0.847606938,0.339042775,0.339042775,0.400000000,1,accept,4.413246485,1.298443111,3.403683950,0.319263210,0.293799311,-0.998587282,0.000000000,0.000000000,0,3.352310988,3.013268213,0.801636660,1.140679435
1780837944.981686831,0,adult,0.400000000,0.836723490,0.334689396,0.334689396,0.400000000,1,accept,4.322928922,1.150085127,3.764959661,0.247008068,0.265607095,-0.998361397,0.000000000,0.000000000,0,3.291673305,2.956983910,0.801636660,1.136326056
1780837945.015122175,0,adult,0.400000000,0.848102551,0.339241020,0.339241020,0.400000000,1,accept,4.298028330,1.271826415,3.385195776,0.322960845,0.295403890,-0.998292119,0.000000000,0.000000000,0,3.242488114,2.903247093,0.801636660,1.140877680
1780837945.065478563,0,adult,0.400000000,0.849797669,0.339919068,0.339919068,0.400000000,1,accept,4.223445112,1.271826415,3.327199105,0.334560179,0.300553098,-0.998068210,0.000000000,0.000000000,0,3.167966005,2.828046938,0.801636660,1.141555728
1780837945.115206480,0,adult,0.400000000,0.850922397,0.340368959,0.340368959,0.400000000,1,accept,4.173732744,1.271826415,3.288589143,0.342282171,0.304081768,-0.997900354,0.000000000,0.000000000,0,3.118299498,2.777930539,0.801636660,1.142005619
1780837945.165210009,0,adult,0.400000000,0.848482525,0.339393010,0.339393010,0.400000000,1,accept,4.102422218,1.220887672,3.368157676,0.326368465,0.296898214,-0.997636277,0.000000000,0.000000000,0,3.057221670,2.717828660,0.801636660,1.141029670
1780837945.215092421,0,adult,0.400000000,0.849598323,0.339839329,0.339839329,0.400000000,1,accept,4.054865922,1.220887672,3.329730774,0.334053845,0.300324581,-0.997451229,0.000000000,0.000000000,0,3.009713901,2.669874571,0.801636660,1.141475989
1780837945.265411854,0,adult,0.400000000,0.837525045,0.335010018,0.335010018,0.400000000,1,accept,3.992018550,1.073129713,3.730450034,0.253909993,0.268064172,-0.997192730,0.000000000,0.000000000,0,2.976392641,2.641382623,0.801636660,1.136646678
1780837945.315225363,0,adult,0.400000000,0.838641333,0.335456533,0.335456533,0.400000000,1,accept,3.950188190,1.073129713,3.692031762,0.261593648,0.270853574,-0.997011432,0.000000000,0.000000000,0,2.934603803,2.599147270,0.801636660,1.137093193
1780837945.365654469,0,adult,0.400000000,0.853544817,0.341417927,0.341417927,0.400000000,1,accept,3.878939673,1.218843975,3.193063696,0.361387261,0.313178845,-0.996683637,0.000000000,0.000000000,0,2.834396753,2.492978827,0.801636660,1.143054587
1780837945.415371180,0,adult,0.400000000,0.854651002,0.341860401,0.341860401,0.400000000,1,accept,3.831334634,1.218843975,3.154621351,0.369075730,0.316995255,-0.996448212,0.000000000,0.000000000,0,2.786853706,2.444993305,0.801636660,1.143497061
1780837945.465739727,0,adult,0.400000000,0.844243784,0.337697514,0.337697514,0.400000000,1,accept,3.768025269,1.080985493,3.499319812,0.300136038,0.285769822,-0.996116893,0.000000000,0.000000000,0,2.751082016,2.413384502,0.801636660,1.139334174
1780837945.515420675,0,adult,0.400000000,0.845343751,0.338137500,0.338137500,0.400000000,1,accept,3.726013930,1.080985493,3.461109497,0.307778101,0.288924693,-0.995885180,0.000000000,0.000000000,0,2.709124455,2.370986954,0.801636660,1.139774160
1780837945.565716267,0,adult,0.400000000,0.864159711,0.345663884,0.345663884,0.400000000,1,accept,3.650436231,1.295427413,2.830876597,0.433824681,0.353247471,-0.995430045,0.000000000,0.000000000,0,2.590988311,2.245324427,0.801636660,1.147300545
1780837945.615233898,0,adult,0.400000000,0.865240254,0.346096101,0.346096101,0.400000000,1,accept,3.600010575,1.295427413,2.792686182,0.441462764,0.358078185,-0.995104196,0.000000000,0.000000000,0,2.540654950,2.194558849,0.801636660,1.147732762
1780837945.665605068,0,adult,0.400000000,0.856404681,0.342561872,0.342561872,0.400000000,1,accept,3.533043321,1.151781628,3.084027977,0.383194405,0.324251274,-0.994627600,0.000000000,0.000000000,0,2.502373954,2.159812082,0.801636660,1.144198532
1780837945.715277672,0,adult,0.400000000,0.857478076,0.342991231,0.342991231,0.400000000,1,accept,3.488263280,1.151781628,3.045980645,0.390803871,0.328301495,-0.994287478,0.000000000,0.000000000,0,2.457678950,2.114687719,0.801636660,1.144627891
1780837945.765532255,0,adult,0.400000000,0.868826275,0.347530510,0.347530510,0.400000000,1,accept,3.413394150,1.289729417,2.663495233,0.467300953,0.375446514,-0.993655659,0.000000000,0.000000000,0,2.355581384,2.008050874,0.801636660,1.149167170
1780837945.815210342,0,adult,0.400000000,0.869863278,0.347945311,0.347945311,0.400000000,1,accept,3.363557402,1.289729417,2.625833921,0.474833216,0.380831397,-0.993191476,0.000000000,0.000000000,0,2.305876376,1.957931065,0.801636660,1.149581971
1780837945.865298748,0,adult,0.400000000,0.861272404,0.344508962,0.344508962,0.400000000,1,accept,3.297669818,1.142670115,2.907694146,0.418461171,0.343915127,-0.992516141,0.000000000,0.000000000,0,2.269336255,1.924827294,0.801636660,1.146145622
1780837945.915176630,0,adult,0.400000000,0.862292242,0.344916897,0.344916897,0.400000000,1,accept,3.253900748,1.142670115,2.870492423,0.425901515,0.348372283,-0.992035075,0.000000000,0.000000000,0,2.225687189,1.880770292,0.801636660,1.146553557
1780837945.965322256,0,adult,0.400000000,0.872206018,0.348882407,0.348882407,0.400000000,1,accept,3.181000000,1.266498804,2.534091155,0.493181769,0.394618796,-0.991143762,0.000000000,0.000000000,0,2.128499934,1.779617527,0.801636660,1.150519067
1780837946.015215635,0,adult,0.400000000,0.873184616,0.349273847,0.349273847,0.400000000,1,accept,3.132527869,1.266498804,2.497120739,0.500575852,0.400461213,-0.990491192,0.000000000,0.000000000,0,2.080210730,1.730936884,0.801636660,1.150910507
1780837946.065719128,0,adult,0.400000000,0.870796271,0.348318508,0.348318508,0.400000000,1,accept,3.063736643,1.204815111,2.569958637,0.486008273,0.389111321,-0.989475149,0.000000000,0.000000000,0,2.023888211,1.675569703,0.801636660,1.149955168
1780837946.115387917,0,adult,0.400000000,0.871743825,0.348697530,0.348697530,0.400000000,1,accept,3.017969454,1.204815111,2.533456216,0.493308757,0.394717696,-0.988737556,0.000000000,0.000000000,0,1.978317521,1.629619991,0.801636660,1.150334190
1780837946.165527582,0,adult,0.400000000,0.880822858,0.352329143,0.352329143,0.400000000,1,accept,2.941888074,1.340897028,2.221951248,0.555609750,0.450054879,-0.987406977,0.000000000,0.000000000,0,1.875785359,1.523456216,0.801636660,1.153965803
1780837946.215378046,0,adult,0.400000000,0.881711370,0.352684548,0.352684548,0.400000000,1,accept,2.891153117,1.340897028,2.185801356,0.562839729,0.457498115,-0.986427051,0.000000000,0.000000000,0,1.825346134,1.472661586,0.801636660,1.154321208
1780837946.279527664,0,adult,0.400000000,0.874603838,0.349841535,0.349841535,0.400000000,1,accept,2.823910982,1.188034452,2.413170656,0.517365869,0.414392574,-0.984994786,0.000000000,0.000000000,0,1.788557401,1.438715866,0.801636660,1.151478195
1780837946.315413475,0,adult,0.400000000,0.865166011,0.346066404,0.346066404,0.400000000,1,accept,2.782138482,1.038932293,2.721339507,0.455732099,0.367466094,-0.984030979,0.000000000,0.000000000,0,1.776298837,1.430232433,0.801636660,1.147703064
1780837946.365461826,0,adult,0.400000000,0.866468095,0.346587238,0.346587238,0.400000000,1,accept,2.723776156,1.038932293,2.668209070,0.466358186,0.374783225,-0.982571836,0.000000000,0.000000000,0,1.718270397,1.371683159,0.801636660,1.148223898
1780837946.415265322,0,adult,0.400000000,0.867311905,0.346924762,0.346924762,0.400000000,1,accept,2.685104123,1.038932293,2.633123249,0.473375350,0.379777134,-0.981528011,0.000000000,0.000000000,0,1.679837680,1.332912918,0.801636660,1.148561422
1780837946.465452671,0,adult,0.400000000,0.882295115,0.352918046,0.352918046,0.400000000,1,accept,2.614923085,1.259566720,2.119661995,0.576067601,0.471773331,-0.979424872,0.000000000,0.000000000,0,1.567101845,1.214183800,0.801636660,1.154554706
1780837946.515177965,0,adult,0.400000000,0.883008204,0.353203281,0.353203281,0.400000000,1,accept,2.568482928,1.259566720,2.085376153,0.582924769,0.479529796,-0.977847440,0.000000000,0.000000000,0,1.521112058,1.167908777,0.801636660,1.154839942
1780837946.565441847,0,adult,0.400000000,0.876302127,0.350520851,0.350520851,0.400000000,1,accept,2.507304215,1.120843862,2.293187803,0.541362439,0.436074184,-0.975488805,0.000000000,0.000000000,0,1.487524964,1.137004113,0.801636660,1.152157511
1780837946.615264416,0,adult,0.400000000,0.876942147,0.350776859,0.350776859,0.400000000,1,accept,2.466983026,1.120843862,2.260319027,0.547936195,0.442415424,-0.973758591,0.000000000,0.000000000,0,1.447638746,1.096861887,0.801636660,1.152413519
1780837946.665269375,0,adult,0.400000000,0.885504318,0.354201727,0.354201727,0.400000000,1,accept,2.399229605,1.266054498,1.952773214,0.609445357,0.512092235,-0.970437571,0.000000000,0.000000000,0,1.352734545,0.998532818,0.801636660,1.155838387
1780837946.715670824,0,adult,0.400000000,0.885955883,0.354382353,0.354382353,0.400000000,1,accept,2.354635758,1.266054498,1.921341841,0.615731632,0.520469590,-0.967980690,0.000000000,0.000000000,0,1.308853213,0.954470860,0.801636660,1.156019013
1780837946.765500069,0,adult,0.400000000,0.879256685,0.351702674,0.351702674,0.400000000,1,accept,2.295833403,1.122873442,2.120253292,0.575949342,0.471641763,-0.964321421,0.000000000,0.000000000,0,1.278484351,0.926781677,0.801636660,1.153339334
1780837946.815331697,0,adult,0.400000000,0.879620606,0.351848243,0.351848243,0.400000000,1,accept,2.257051986,1.122873442,2.090249128,0.581950174,0.478411873,-0.961640401,0.000000000,0.000000000,0,1.240384677,0.888536435,0.801636660,1.153484903
1780837946.865320444,0,adult,0.400000000,0.888063466,0.355225386,0.355225386,0.400000000,1,accept,2.190974028,1.290647834,1.774730082,0.645053984,0.563465966,-0.956526842,0.000000000,0.000000000,0,1.143886573,0.788661186,0.801636660,1.156862046
1780837946.915315628,0,adult,0.400000000,0.888151530,0.355260612,0.355260612,0.400000000,1,accept,2.147382979,1.290647834,1.746380494,0.650723901,0.572612901,-0.952714725,0.000000000,0.000000000,0,1.101439586,0.746178974,0.801636660,1.156897272
1780837946.965579748,0,adult,0.400000000,0.881612348,0.352644939,0.352644939,0.400000000,1,accept,2.089908020,1.144913481,1.927243318,0.614551336,0.518875842,-0.947148237,0.000000000,0.000000000,0,1.072830672,0.720185733,0.801636660,1.154281599
1780837947.015418291,0,adult,0.400000000,0.881600898,0.352640359,0.352640359,0.400000000,1,accept,2.052061358,1.144913481,1.900505041,0.619898992,0.526175926,-0.943080245,0.000000000,0.000000000,0,1.036054136,0.683413777,0.801636660,1.154277019
1780837947.065505743,0,adult,0.400000000,0.887412727,0.354965091,0.354965091,0.400000000,1,accept,1.989046152,1.283377722,1.656612104,0.668677579,0.603641611,-0.935555452,0.000000000,0.000000000,0,0.949623143,0.594658052,0.801636660,1.156601751
