t,mpc_status,cmd_v,cmd_w,obs_count,beta_count,used_fallback,slack,solve_time_ms
1780837960.702294111,success,-0.000240467,0.000544044,1,1,0,0.000000000,24.008354000
1780837960.803465128,success,-0.000082557,0.000646591,1,1,0,0.000000000,25.201683000
1780837960.894140720,success,0.000073681,0.000598538,1,1,0,0.000000000,15.954074000
1780837961.002024889,success,0.000344544,0.000690049,1,1,0,0.000000000,23.837304000
1780837961.099658012,success,0.000433809,0.000710947,1,1,0,0.000000000,21.375668000
1780837961.201093197,success,0.000277825,0.000843255,1,1,0,0.000000000,22.796378000
1780837961.302595615,success,0.000401840,0.000942201,1,1,0,0.000000000,24.311465000
1780837961.401980639,success,0.000420064,0.000895639,1,1,0,0.000000000,23.707521000
1780837961.492803574,success,0.000485355,0.000848045,1,1,0,0.000000000,14.642895000
1780837961.594881535,success,0.000626746,0.000799753,1,1,0,0.000000000,16.777856000
1780837961.697491646,success,0.000474307,0.000783573,1,1,0,0.000000000,19.231864000
1780837961.803165436,success,0.000424947,0.000829792,1,1,0,0.000000000,24.971322000
1780837961.900340796,success,0.000577620,0.000805096,1,1,0,0.000000000,22.025320000
1780837962.002844334,success,0.000318795,0.000687838,1,1,0,0.000000000,24.610171000
1780837962.104169369,success,0.000092880,0.000759600,1,1,0,0.000000000,25.970967000
1780837962.202058554,success,0.000263539,0.000657875,1,1,0,0.000000000,23.785864000
1780837962.306342840,success,0.000008909,0.000673330,1,1,0,0.000000000,28.053430000
1780837962.404930592,success,0.000065821,0.000765062,1,1,0,0.000000000,26.716035000
1780837962.507313013,success,-0.000003994,0.000769863,1,1,0,0.000000000,29.132437000
1780837962.604660749,success,0.000149166,0.000787780,1,1,0,0.000000000,26.550629000
1780837962.703289509,success,0.000162903,0.000813342,1,1,0,0.000000000,25.148570000
1780837962.805540562,success,-0.000022765,0.000759721,1,1,0,0.000000000,27.424660000
1780837962.905463219,success,-0.000116254,0.000698359,1,1,0,0.000000000,27.327315000
1780837963.004836082,success,-0.000246391,0.000723438,1,1,0,0.000000000,26.680288000
1780837963.101748466,success,-0.000427223,0.000612250,1,1,0,0.000000000,23.561301000
1780837963.200448036,success,-0.000627654,0.000519762,1,1,0,0.000000000,22.339486000
1780837963.297272205,success,-0.000657432,0.000413861,1,1,0,0.000000000,19.105947000
1780837963.403736353,success,-0.000883341,0.000548342,1,1,0,0.000000000,25.578562000
1780837963.504377842,success,-0.001170648,0.000602020,1,1,0,0.000000000,26.199220000
1780837963.600740194,success,-0.000857306,0.000712973,1,1,0,0.000000000,22.600357000
1780837963.701902628,success,-0.000787572,0.000702253,1,1,0,0.000000000,23.761465000
1780837963.804512739,success,-0.001137645,0.000681643,1,1,0,0.000000000,26.296756000
1780837963.906995296,success,-0.001105620,0.000680467,1,1,0,0.000000000,28.824232000
1780837964.002020836,success,-0.000703027,0.000734941,1,1,0,0.000000000,23.875435000
1780837964.101538658,success,-0.000522496,0.000877452,1,1,0,0.000000000,23.386745000
1780837964.201728344,success,-0.000422322,0.000801388,1,1,0,0.000000000,23.538995000
1780837964.301657915,success,-0.000282162,0.000870727,1,1,0,0.000000000,23.488702000
1780837964.401671648,success,-0.000230322,0.000972990,1,1,0,0.000000000,23.490219000
1780837964.504437685,success,-0.000363459,0.000994070,1,1,0,0.000000000,26.276574000
1780837964.603318214,success,-0.000482620,0.001026881,1,1,0,0.000000000,25.153494000
1780837964.700362206,success,-0.000609137,0.001039573,1,1,0,0.000000000,22.259655000
1780837964.798799038,success,-0.000444750,0.000921372,1,1,0,0.000000000,20.616381000
1780837964.901372671,success,-0.000229751,0.000870210,1,1,0,0.000000000,23.149627000
1780837965.004564047,success,-0.000276910,0.000940435,1,1,0,0.000000000,26.409597000
1780837965.101697445,success,-0.000391416,0.000858647,1,1,0,0.000000000,23.578371000
1780837965.207149506,success,-0.000016184,0.000898227,1,1,0,0.000000000,28.954634000
1780837965.301614761,success,-0.000137328,0.000946242,1,1,0,0.000000000,23.501764000
1780837965.401843309,success,-0.000265694,0.000841174,1,1,0,0.000000000,23.718285000
1780837965.498490810,success,-0.000493077,0.000888184,1,1,0,0.000000000,20.305277000
1780837965.602778435,success,-0.000631760,0.000910215,1,1,0,0.000000000,24.598908000
1780837965.698635101,success,-0.000594162,0.000876876,1,1,0,0.000000000,20.420292000
1780837965.804495573,success,-0.000510572,0.000971196,1,1,0,0.000000000,26.337660000
1780837965.901210308,success,-0.000286320,0.001002818,1,1,0,0.000000000,23.036623000
1780837966.005808115,success,-0.000213034,0.001050436,1,1,0,0.000000000,27.689949000
1780837966.100369215,success,0.000025903,0.001040996,1,1,0,0.000000000,22.176872000
