t,x,y,yaw,v,w,cmd_v,cmd_w
1780837943.721724510,0.253354828,-0.016212348,-0.143386565,1.004866683,-0.438265765,1.004866683,-0.438265765
1780837943.741657972,0.273247995,-0.019106950,-0.152151880,1.004866683,-0.438265765,1.004866683,-0.438265765
1780837943.761722565,0.293086913,-0.022108815,-0.160917195,1.004866683,-0.438265765,1.004866683,-0.438265765
1780837943.781587362,0.312987994,-0.025317105,-0.169682511,1.004866683,-0.438265765,1.004866683,-0.438265765
1780837943.801551819,0.332718082,-0.028615886,-0.178447826,1.004866683,-0.438265765,1.004866683,-0.438265765
1780837943.821500778,0.355222082,-0.032758890,-0.184436605,1.141354142,-0.299438972,1.141354142,-0.299438972
1780837943.841633797,0.377638285,-0.036969193,-0.190425385,1.141354142,-0.299438972,1.141354142,-0.299438972
1780837943.861609459,0.400059164,-0.041199752,-0.196414164,1.141354142,-0.299438972,1.141354142,-0.299438972
1780837943.881443977,0.422512270,-0.045716082,-0.202402944,1.141354142,-0.299438972,1.141354142,-0.299438972
1780837943.901504040,0.444839310,-0.050226584,-0.208391723,1.141354142,-0.299438972,1.141354142,-0.299438972
1780837943.921596527,0.464727191,-0.054415069,-0.212353239,1.014072043,-0.198075804,1.014072043,-0.198075804
1780837943.941720009,0.484493903,-0.058622069,-0.216314755,1.014072043,-0.198075804,1.014072043,-0.198075804
1780837943.961583138,0.504332109,-0.063042083,-0.220276271,1.014072043,-0.198075804,1.014072043,-0.198075804
1780837943.981599808,0.524083157,-0.067471975,-0.224237788,1.014072043,-0.198075804,1.014072043,-0.198075804
1780837944.001617908,0.543944347,-0.072020516,-0.228199304,1.014072043,-0.198075804,1.014072043,-0.198075804
1780837944.021727562,0.566028888,-0.077122406,-0.229430667,1.135603784,-0.061568154,1.135603784,-0.061568154
1780837944.041677713,0.588100022,-0.082293079,-0.230662030,1.135603784,-0.061568154,1.135603784,-0.061568154
1780837944.061716080,0.610277199,-0.087432086,-0.231893393,1.135603784,-0.061568154,1.135603784,-0.061568154
1780837944.081676483,0.632307904,-0.092612039,-0.233124756,1.135603784,-0.061568154,1.135603784,-0.061568154
1780837944.101514578,0.654335506,-0.097791360,-0.234356119,1.135603784,-0.061568154,1.135603784,-0.061568154
1780837944.121585131,0.677593582,-0.103329591,-0.227007630,1.196597177,0.367424473,1.196597177,0.367424473
1780837944.141680956,0.700822225,-0.108682379,-0.219659140,1.196597177,0.367424473,1.196597177,0.367424473
1780837944.161736012,0.724277487,-0.113822200,-0.212310651,1.196597177,0.367424473,1.196597177,0.367424473
1780837944.181636572,0.747767367,-0.118797297,-0.204962161,1.196597177,0.367424473,1.196597177,0.367424473
1780837944.201601982,0.771223277,-0.123705871,-0.197613672,1.196597177,0.367424473,1.196597177,0.367424473
1780837944.221774340,0.792065813,-0.127840903,-0.191091636,1.058251900,0.326101790,1.058251900,0.326101790
1780837944.241677046,0.812891068,-0.131889368,-0.184569600,1.058251900,0.326101790,1.058251900,0.326101790
1780837944.261599541,0.833607092,-0.135722908,-0.178047564,1.058251900,0.326101790,1.058251900,0.326101790
1780837944.281754255,0.854410416,-0.139537655,-0.171525529,1.058251900,0.326101790,1.058251900,0.326101790
1780837944.301437140,0.875230271,-0.143117358,-0.165003493,1.058251900,0.326101790,1.058251900,0.326101790
1780837944.321697474,0.898935743,-0.146984210,-0.159741485,1.201144283,0.263100395,1.201144283,0.263100395
1780837944.341634512,0.922661321,-0.150864349,-0.154479477,1.201144283,0.263100395,1.201144283,0.263100395
1780837944.361713409,0.946371938,-0.154590885,-0.149217469,1.201144283,0.263100395,1.201144283,0.263100395
1780837944.381717443,0.970085521,-0.158100422,-0.143955461,1.201144283,0.263100395,1.201144283,0.263100395
1780837944.401578903,0.993858749,-0.161494103,-0.138693453,1.201144283,0.263100395,1.201144283,0.263100395
