t,id,class,x,y,radius,vx,vy,d_i,rel_v,TTC,h_EE
1780837952.015498400,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.818742261,1.148083300,-1.000000000,3.234791611
1780837952.065505266,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.876339605,1.015370188,-1.000000000,3.267468249
1780837952.115514517,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.914867373,1.015370188,-1.000000000,3.306194698
1780837952.165395260,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.978680110,1.121972441,-1.000000000,3.390513785
1780837952.215418100,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.018832180,0.993572342,-1.000000000,3.406278167
1780837952.265538454,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.075384740,0.993572342,-1.000000000,3.462960799
1780837952.315192938,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.113181683,0.993572342,-1.000000000,3.500840841
1780837952.366050243,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.163055839,0.872325725,-1.000000000,3.527666417
1780837952.415623188,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.196164471,0.872325725,-1.000000000,3.560835727
1780837952.465469360,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.251277429,0.965695714,-1.000000000,3.633778529
1780837952.515437126,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.287968273,0.965695714,-1.000000000,3.670461956
1780837952.566280603,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.345288652,1.003407827,-1.000000000,3.735344054
1780837952.615446329,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.383628453,1.003407827,-1.000000000,3.773911568
1780837952.665532351,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.434404012,0.885745919,-1.000000000,3.802422546
1780837952.715661049,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.468352608,0.885745919,-1.000000000,3.836552027
1780837952.765672207,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.523654377,0.963273505,-1.000000000,3.906942429
1780837952.815509796,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.558589019,0.852340215,-1.000000000,3.920648737
1780837952.865486860,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.607543268,0.852340215,-1.000000000,3.969726532
1780837952.915619612,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.640304820,0.852340215,-1.000000000,4.002568846
1780837952.965878725,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.683424877,0.748225883,-1.000000000,4.025721088
1780837953.015296936,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.712196353,0.748225883,-1.000000000,4.054542421
1780837953.065364122,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.758235412,0.798893218,-1.000000000,4.110355213
1780837953.115264654,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.788942054,0.798893218,-1.000000000,4.141068966
1780837953.165551424,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.829568216,0.706291173,-1.000000000,4.163845868
1780837953.215407372,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.856777617,0.706291173,-1.000000000,4.191049115
1780837953.265338182,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.892288032,0.617896949,-1.000000000,4.209521568
1780837953.315515280,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.917192122,0.675839037,-1.000000000,4.245564280
1780837953.365647793,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.955968355,0.675839037,-1.000000000,4.284297891
1780837953.415483713,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,4.981938559,0.675839037,-1.000000000,4.310239618
1780837953.465582609,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.016422081,0.596942405,-1.000000000,4.329500499
1780837953.515607595,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.037879069,0.521940327,-1.000000000,4.336508355
1780837953.565674543,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.067888795,0.521940327,-1.000000000,4.366483145
1780837953.615572453,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.087821089,0.521940327,-1.000000000,4.386392494
1780837953.665482283,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.114286052,0.458053197,-1.000000000,4.400551182
1780837953.715662479,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.131858364,0.458053197,-1.000000000,4.418102308
1780837953.765525818,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.159080418,0.476479003,-1.000000000,4.448831480
1780837953.815224886,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.177388269,0.476479003,-1.000000000,4.467119509
1780837953.865409851,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.201594486,0.420858538,-1.000000000,4.480624247
1780837953.915469885,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.216702494,0.368007279,-1.000000000,4.485579270
1780837953.965344191,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.237775046,0.368007279,-1.000000000,4.506626209
1780837954.015637398,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.251736801,0.368007279,-1.000000000,4.520570507
1780837954.065493584,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.270357467,0.322999234,-1.000000000,4.530545832
1780837954.115590096,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.282782372,0.322999234,-1.000000000,4.542955628
1780837954.165623188,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.298836880,0.282445178,-1.000000000,4.551227189
1780837954.215382814,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.309665436,0.282445178,-1.000000000,4.562042996
1780837954.265562773,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.323989549,0.246951480,-1.000000000,4.569560618
1780837954.315900326,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.333512533,0.246951480,-1.000000000,4.579073180
1780837954.365802050,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.345952273,0.215658392,-1.000000000,4.585516501
1780837954.415671825,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.354060355,0.215658392,-1.000000000,4.593615586
1780837954.465578794,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.364754750,0.188276501,-1.000000000,4.599067032
1780837954.515185118,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.372099856,0.188276501,-1.000000000,4.606404709
1780837954.565526485,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.381690763,0.164737727,-1.000000000,4.611495049
1780837954.615404129,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.387855147,0.164737727,-1.000000000,4.617655298
1780837954.665408373,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.396118623,0.143683505,-1.000000000,4.621895672
1780837954.715459585,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.401549050,0.143683505,-1.000000000,4.627323261
1780837954.765559196,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.408697944,0.125749453,-1.000000000,4.631046674
1780837954.815234661,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.413461065,0.125749453,-1.000000000,4.635807716
1780837954.865521431,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.419773852,0.110051375,-1.000000000,4.639123703
1780837954.915235758,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.424030200,0.110051375,-1.000000000,4.643378584
1780837954.965428829,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.429569532,0.096130705,-1.000000000,4.646261538
1780837955.015174866,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.433175916,0.096130705,-1.000000000,4.649866967
1780837955.065454006,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.437964891,0.083855747,-1.000000000,4.652314283
1780837955.115406513,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.440994579,0.083855747,-1.000000000,4.655343191
1780837955.165612459,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.445159054,0.073352538,-1.000000000,4.657504467
1780837955.215551376,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.447854827,0.073352538,-1.000000000,4.660199847
1780837955.265782356,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.451570879,0.064370289,-1.000000000,4.662203067
1780837955.315604925,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.454011451,0.064370289,-1.000000000,4.664643257
1780837955.365435362,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.457181514,0.056276803,-1.000000000,4.666270180
1780837955.415414572,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.459453589,0.056276803,-1.000000000,4.668541975
1780837955.465380669,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.462213282,0.049281443,-1.000000000,4.669968073
1780837955.515661001,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.463997792,0.049281443,-1.000000000,4.671752397
1780837955.565473080,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.466567581,0.043019809,-1.000000000,4.673128628
1780837955.615305662,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.468261618,0.043019809,-1.000000000,4.674822425
1780837955.665305614,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.470478091,0.037522597,-1.000000000,4.675991105
1780837955.715643167,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.471903678,0.037522597,-1.000000000,4.677416619
1780837955.765649557,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.473926522,0.032709659,-1.000000000,4.678522141
1780837955.815284729,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.475125817,0.032709659,-1.000000000,4.679721295
1780837955.865347862,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.476808569,0.028371174,-1.000000000,4.680577218
1780837955.915316820,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.477886649,0.028371174,-1.000000000,4.681655191
1780837955.965446472,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.479222495,0.024805690,-1.000000000,4.682311585
1780837956.015521765,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.480253362,0.024805690,-1.000000000,4.683342347
1780837956.065567732,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.481421163,0.021773284,-1.000000000,4.683932335
1780837956.115461588,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.482174974,0.021773284,-1.000000000,4.684686067
1780837956.165448666,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.483199737,0.019009789,-1.000000000,4.685184268
1780837956.215383768,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.483853481,0.019009789,-1.000000000,4.685837932
1780837956.265519381,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.484826157,0.016785553,-1.000000000,4.686386832
1780837956.315547466,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.485408208,0.016785553,-1.000000000,4.686968842
1780837956.365398645,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.486218977,0.014754714,-1.000000000,4.687392708
1780837956.415523291,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.486749552,0.014754714,-1.000000000,4.687923227
1780837956.465563297,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.487501606,0.012948769,-1.000000000,4.688331252
1780837956.515450001,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.487916442,0.012948769,-1.000000000,4.688746067
1780837956.565633059,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.488616467,0.011324243,-1.000000000,4.689136615
1780837956.615350008,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.488956616,0.011324243,-1.000000000,4.689476715
1780837956.665779829,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.489651366,0.009909957,-1.000000000,4.689902071
1780837956.715526819,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.490110674,0.009909957,-1.000000000,4.690361358
1780837956.765484810,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.490801374,0.008642477,-1.000000000,4.690810632
1780837956.815726519,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.491255964,0.008642477,-1.000000000,4.691265191
1780837956.865571022,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.491843775,0.007207027,-1.000000000,4.691579609
1780837956.915678263,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.492200544,0.007207027,-1.000000000,4.691936353
1780837956.965451479,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.492496232,0.005915156,-1.000000000,4.691986008
1780837957.014975548,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.492712478,0.005915156,-1.000000000,4.692202235
1780837957.065265894,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.493032529,0.005069123,-1.000000000,4.692361161
1780837957.115787029,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.493177036,0.004370922,-1.000000000,4.692372705
1780837957.165553570,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.493398694,0.004370922,-1.000000000,4.692594347
1780837957.215281248,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.493563170,0.004370922,-1.000000000,4.692758815
1780837957.265420914,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.493745397,0.003857273,-1.000000000,4.692843226
1780837957.315631151,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.493933742,0.003857273,-1.000000000,4.693031564
